1,Iker CASILLAS,20/5/1981,GK,Real Madrid (ESP),184
2,Raul ALBIOL,4/9/1985,DF,Real Madrid (ESP),187
3,Gerard PIQUE,2/2/1987,DF,Barcelona (ESP),192
4,Carlos MARCHENA,31/7/1979,DF,Valencia (ESP),182
5,Carles PUYOL,13/4/1978,DF,Barcelona (ESP),178
6,Andres INIESTA,11/5/1984,MF,Barcelona (ESP),170
7,David VILLA,3/12/1981,FW,Valencia (ESP),175
8,XAVI,25/1/1980,MF,Barcelona (ESP),170
9,Fernando TORRES,20/3/1984,FW,Liverpool (ENG),181
10,Cesc FABREGAS,4/5/1987,MF,Arsenal (ENG),175
11,Joan CAPDEVILA,3/2/1978,DF,Villarreal (ESP),182
12,Victor VALDES,14/1/1982,GK,Barcelona (ESP),183
13,Juan Manuel MATA,28/4/1988,FW,Valencia (ESP),174
14,XABI ALONSO,25/11/1981,MF,Real Madrid (ESP),183
15,SERGIO RAMOS,30/3/1986,DF,Real Madrid (ESP),183
16,Sergio BUSQUETS,16/7/1988,MF,Barcelona (ESP),189
17,Alvaro ARBELOA,17/1/1983,DF,Real Madrid (ESP),184
18,PEDRO,28/7/1987,FW,Barcelona (ESP),169
19,Fernando LLORENTE,26/2/1985,FW,Athletic Bilbao (ESP),194
20,Javier MARTINEZ,2/9/1988,MF,Athletic Bilbao (ESP),190
21,DAVID SILVA,8/1/1986,MF,Valencia (ESP),177
22,Jesus NAVAS,21/11/1985,FW,Sevilla FC (ESP),172
23,Pepe REINA,31/8/1982,GK,Liverpool (ENG),187
