1,Konstantinos CHALKIAS,30/5/1974,GK,PAOK (GRE),198
2,Giourkas SEITARIDIS,4/6/1981,DF,Panathinaikos (GRE),185
3,Christos PATSATZOGLOU,19/3/1979,DF,Omonia (CYP),183
4,Nikos SPIROPOULOS,10/10/1983,DF,Panathinaikos (GRE),171
5,Vangelis MORAS,26/8/1981,DF,Bologna (ITA),193
6,Alexandros TZIOLIS,13/2/1985,MF,Siena (ITA),190
7,Georgios SAMARAS,21/2/1985,FW,Celtic (SCO),192
8,Avraam PAPADOPOULOS,3/12/1984,DF,Olympiacos (GRE),186
9,Angelos CHARISTEAS,9/2/1980,FW,Nuremberg (GER),191
10,Georgios KARAGOUNIS,6/3/1977,MF,Panathinaikos (GRE),176
11,Loukas VYNTRA,5/2/1981,DF,Panathinaikos (GRE),184
12,Alexandros TZORVAS,12/8/1982,GK,Panathinaikos (GRE),190
13,Michail SIFAKIS,9/9/1984,GK,Aris Thessaloniki (GRE),186
14,Dimitrios SALPINGIDIS,18/8/1981,FW,Panathinaikos (GRE),171
15,Vasileios TOROSIDIS,10/6/1985,DF,Olympiacos (GRE),185
16,Sotirios KYRGIAKOS,23/7/1979,DF,Liverpool (ENG),192
17,Theofanis GEKAS,23/5/1980,FW,Hertha Berlin (GER),179
18,Sotiris NINIS,3/4/1990,MF,Panathinaikos (GRE),173
19,Sokratis PAPASTATHOPOULOS,9/6/1988,DF,Genoa (ITA),186
20,Pantelis KAPETANOS,8/6/1983,FW,Steaua (ROU),190
21,Konstantinos KATSOURANIS,21/6/1979,MF,Panathinaikos (GRE),183
22,Stelios MALEZAS,11/3/1985,DF,PAOK (GRE),192
23,Athanasios PRITTAS,9/1/1979,MF,Aris Thessaloniki (GRE),185
