1,Oscar PEREZ,1/2/1973,GK,Jaguares (MEX),174
2,Francisco RODRIGUEZ,20/10/1981,DF,PSV Eindhoven (NED),191
3,Carlos SALCIDO,2/4/1980,DF,PSV Eindhoven (NED),176
4,Rafael MARQUEZ,13/2/1979,DF,Barcelona (ESP),182
5,Ricardo OSORIO,30/3/1980,DF,VfB Stuttgart (GER),173
6,Gerardo TORRADO,30/4/1979,MF,Cruz Azul (MEX),174
7,Pablo BARRERA,21/6/1987,FW,Pumas UNAM (MEX),172
8,Israel CASTRO,20/12/1980,MF,Pumas UNAM (MEX),175
9,Guillermo FRANCO,3/11/1976,FW,West Ham Utd. (ENG),182
10,Cuauhtemoc BLANCO,17/1/1973,FW,Veracruz (MEX),177
11,Carlos VELA,1/3/1989,FW,Arsenal (ENG),179
12,Paul AGUILAR,6/3/1986,DF,Pachuca (MEX),178
13,Guillermo OCHOA,13/7/1985,GK,America (MEX),183
14,Javier HERNANDEZ,1/6/1988,FW,Chivas (MEX),175
15,Hector MORENO,17/1/1988,DF,AZ Alkmaar (NED),184
16,Efrain JUAREZ,22/2/1988,DF,Pumas UNAM (MEX),175
17,Giovani DOS SANTOS,11/5/1989,FW,Galatasaray (TUR),175
18,Andres GUARDADO,28/9/1986,MF,Deportivo La Coruna (ESP),169
19,Jonny MAGALLON,21/11/1981,DF,Chivas (MEX),178
20,Jorge TORRES,16/1/1988,MF,Atlas (MEX),182
21,Adolfo BAUTISTA,15/5/1979,FW,Chivas (MEX),185
22,Alberto MEDINA,29/5/1983,FW,Chivas (MEX),172
23,Luis MICHEL,21/7/1979,GK,Chivas (MEX),183
